,year,city_temp,global_temp,city_temp_10yr_rolling_avg,global_temp_10yr_rolling_avg
0,1758,23.05,6.74,20.25,7.859999999999999
1,1759,22.56,7.99,20.25,7.8
2,1760,15.14,7.19,20.189047619047617,7.885714285714286
3,1761,20.25,8.77,20.14375,7.93125
4,1762,20.25,8.61,20.386296296296294,7.984444444444445
5,1763,20.25,7.5,20.604166666666668,8.008
6,1764,19.823333333333334,8.4,20.476166666666664,8.012
7,1765,19.826666666666668,8.25,20.477166666666665,7.981999999999999
8,1766,22.326666666666668,8.41,21.22716666666667,8.032
9,1767,22.565,8.22,21.530166666666666,7.94
10,1768,21.77,6.78,21.827452380952383,7.898000000000001
11,1769,22.57,7.69,22.15445238095238,7.970000000000001
12,1770,22.64,7.69,22.52854761904762,8.007
13,1771,23.28,7.85,22.997880952380953,8.1
14,1772,23.222857142857144,8.19,23.191214285714288,8.089
15,1773,23.52,8.22,23.350714285714282,8.093
16,1774,23.564285714285713,8.77,23.562047619047622,8.269
17,1775,24.52,9.18,23.675380952380955,8.398
18,1776,24.26,8.3,23.76552380952381,8.572
19,1777,24.16,8.26,23.77652380952381,8.597
20,1778,23.883333333333336,8.54,23.799238095238096,8.568000000000001
21,1779,23.703333333333333,8.98,23.6912380952381,8.514
22,1780,23.541428571428572,9.43,23.591809523809523,8.423
23,1781,23.39,8.1,23.363809523809525,8.241
24,1782,23.45,7.9,23.218809523809522,8.237
25,1783,22.44,7.68,23.088809523809523,8.214
26,1784,22.57,7.86,23.02147619047619,8.205
27,1785,22.24,7.36,22.952142857142857,8.14
28,1786,22.81,8.26,22.886,7.994999999999999
29,1787,22.86,8.03,22.864,8.008
30,1788,23.21,8.45,22.791999999999998,8.027000000000001
31,1789,23.01,8.33,22.851999999999997,8.081999999999999
32,1790,22.88,7.98,22.916,8.149
33,1791,23.17,8.23,22.744,8.248000000000001
34,1792,22.73,8.09,22.752,8.248999999999999
35,1793,23.04,8.23,22.756999999999998,8.297
36,1794,23.21,8.53,22.782999999999998,8.318999999999999
37,1795,20.52,8.35,22.807,8.337
38,1796,22.89,8.27,22.825,8.387
39,1797,22.91,8.51,22.845999999999997,8.423
40,1798,23.47,8.67,22.926,8.472
41,1799,23.25,8.51,22.958000000000002,8.499
42,1800,23.06,8.48,22.982,8.530000000000001
43,1801,23.38,8.59,23.270999999999997,8.550999999999998
44,1802,23.53,8.58,23.294999999999998,8.567
45,1803,23.36,8.5,23.295,8.544
46,1804,23.45,8.84,23.214000000000002,8.440000000000001
47,1805,23.41,8.56,23.07,8.297
48,1806,23.13,8.43,22.949,8.141
49,1807,22.91,8.28,22.815,7.967999999999999
50,1808,22.66,7.63,22.615000000000002,7.8149999999999995
51,1809,21.81,7.08,22.529,7.739
52,1810,21.85,6.92,22.408,7.614
53,1811,22.04,6.86,22.262999999999998,7.482000000000001
54,1812,21.53,7.05,22.104000000000003,7.333
55,1813,22.5,7.74,21.979,7.203
56,1814,22.24,7.59,21.953,7.223000000000001
57,1815,21.96,7.24,21.982,7.252000000000001
58,1816,21.54,6.94,22.022,7.322
59,1817,21.66,6.98,22.06,7.445
60,1818,22.4,7.83,22.215,7.559
61,1819,22.1,7.37,22.209,7.5569999999999995
62,1820,22.25,7.62,22.325,7.6530000000000005
63,1821,22.42,8.09,22.455000000000002,7.768000000000001
64,1822,23.08,8.19,22.645999999999997,7.909999999999999
65,1823,22.44,7.72,22.877,8.093
66,1824,23.4,8.55,23.055,8.126999999999999
67,1825,23.26,8.39,23.125999999999998,8.184
68,1826,23.45,8.36,23.282,8.274000000000001
69,1827,23.97,8.81,23.306,8.229000000000001
70,1828,24.18,8.17,23.291,8.155000000000001
71,1829,22.81,7.94,23.354999999999997,8.184000000000001
72,1830,23.81,8.52,23.375,8.144
73,1831,22.66,7.64,23.316,8.044
74,1832,22.93,7.45,23.226,7.978
75,1833,23.08,8.01,23.114,7.835000000000001
76,1834,23.6,8.15,22.942,7.769
77,1835,22.67,7.39,22.951,7.738000000000001
78,1836,22.55,7.7,22.859,7.6659999999999995
79,1837,22.85,7.38,22.833000000000002,7.670999999999999
80,1838,22.46,7.51,22.831,7.727999999999999
81,1839,22.9,7.63,22.751,7.744
82,1840,22.89,7.8,22.618000000000002,7.694
83,1841,22.4,7.69,22.565,7.739999999999999
84,1842,22.91,8.02,22.585,7.825
85,1843,22.28,8.17,22.571,7.895999999999999
86,1844,22.27,7.65,22.622999999999998,7.9430000000000005
87,1845,22.14,7.85,22.686999999999998,7.978
88,1846,22.75,8.55,22.734,7.9879999999999995
89,1847,22.71,8.09,22.775,8.037
90,1848,22.98,7.98,22.741,8.045
91,1849,23.54,7.98,22.8,8.032
92,1850,23.36,7.9,22.851000000000003,8.088
93,1851,22.81,8.18,22.906,8.114
94,1852,22.57,8.1,22.909,8.059000000000001
95,1853,22.87,8.04,22.871,8.026
96,1854,22.78,8.21,22.833000000000002,8.038
97,1855,22.69,8.11,22.78,8.065
98,1856,22.78,8.0,22.724,8.071000000000002
99,1857,22.33,7.76,22.769,8.038
100,1858,22.6,8.1,22.848000000000003,7.984
101,1859,23.01,8.25,22.855,7.991
102,1860,22.8,7.96,22.816,7.968000000000001
103,1861,23.26,7.85,22.862000000000002,7.975
104,1862,23.36,7.56,22.887999999999998,8.004000000000001
105,1863,22.94,8.11,22.963,8.072
106,1864,22.39,7.98,22.978,8.087
107,1865,23.15,8.18,22.999000000000002,8.105
108,1866,23.04,8.29,23.014,8.129
109,1867,23.08,8.44,22.987000000000002,8.156
110,1868,22.75,8.25,22.907,8.219
111,1869,23.22,8.43,22.865,8.242999999999999
112,1870,22.95,8.2,22.926,8.288
113,1871,22.99,8.12,22.919,8.256
114,1872,22.56,8.19,22.892,8.235
115,1873,22.52,8.35,22.875,8.245
116,1874,23.0,8.43,22.887999999999998,8.302999999999999
117,1875,23.08,7.86,22.851,8.277
118,1876,22.77,8.08,22.9,8.269
119,1877,22.91,8.54,22.915,8.283999999999999
120,1878,22.88,8.83,22.994999999999997,8.278
121,1879,22.85,8.17,23.096,8.241
122,1880,23.44,8.12,23.105,8.175
123,1881,23.14,8.27,23.038,8.181
124,1882,23.36,8.13,22.969,8.168
125,1883,23.53,7.98,22.942999999999998,8.105
126,1884,23.09,7.77,22.933,8.031
127,1885,22.41,7.92,22.901,8.046000000000001
128,1886,22.08,7.95,22.868000000000002,8.031
129,1887,22.65,7.91,22.827,8.006
130,1888,22.78,8.09,22.736,8.0
131,1889,22.53,8.32,22.669999999999998,8.008
132,1890,23.11,7.97,22.645,8.047
133,1891,22.73,8.02,22.651,8.07
134,1892,22.45,8.07,22.727,8.096
135,1893,22.87,8.06,22.783,8.134
136,1894,22.84,8.16,22.797,8.143
137,1895,22.47,8.15,22.855,8.151
138,1896,22.84,8.21,22.837,8.203999999999999
139,1897,23.21,8.29,22.758000000000003,8.256
140,1898,22.92,8.18,22.798,8.279
141,1899,23.11,8.4,22.775,8.295
142,1900,22.93,8.5,22.753,8.288
143,1901,21.94,8.54,22.818,8.296000000000001
144,1902,22.85,8.3,22.803,8.312999999999999
145,1903,22.64,8.22,22.801,8.279
146,1904,22.62,8.09,22.821,8.28
147,1905,23.12,8.23,22.819,8.258000000000001
148,1906,22.69,8.38,22.725,8.23
149,1907,23.19,7.95,22.9,8.193999999999999
150,1908,23.12,8.19,22.976,8.181000000000001
151,1909,23.09,8.18,23.041000000000004,8.189
152,1910,21.99,8.22,23.059,8.239
153,1911,23.69,8.18,23.012999999999998,8.275
154,1912,23.61,8.17,23.046,8.26
155,1913,23.29,8.3,22.985999999999997,8.267
156,1914,22.8,8.59,22.98,8.261
157,1915,22.66,8.59,22.988,8.281
158,1916,23.02,8.23,23.052,8.294999999999998
159,1917,22.59,8.02,23.023,8.334
160,1918,23.06,8.13,23.016000000000002,8.358
161,1919,23.17,8.38,23.005,8.370000000000001
162,1920,22.63,8.36,23.034,8.362
163,1921,23.4,8.57,23.099,8.356
164,1922,23.54,8.41,23.103,8.406
165,1923,23.18,8.42,23.183,8.456
166,1924,23.09,8.51,23.166999999999998,8.506
167,1925,23.31,8.53,23.223000000000003,8.492
168,1926,23.06,8.73,23.251,8.519000000000002
169,1927,23.39,8.52,23.192,8.534
170,1928,22.9,8.63,23.192999999999998,8.564
171,1929,23.73,8.24,23.222,8.556000000000001
172,1930,22.91,8.63,23.217,8.568000000000001
173,1931,22.81,8.72,23.169,8.567
174,1932,23.55,8.71,23.185,8.549000000000001
175,1933,23.47,8.34,23.163,8.567
176,1934,23.04,8.63,23.193,8.59
177,1935,22.83,8.52,23.166999999999998,8.642
178,1936,23.22,8.55,23.113999999999997,8.655
179,1937,23.17,8.7,23.151,8.66
180,1938,23.2,8.86,23.093,8.662
181,1939,23.47,8.76,23.034,8.704
182,1940,22.38,8.76,23.058,8.725999999999999
183,1941,23.18,8.77,23.124,8.732
184,1942,22.97,8.73,23.195999999999998,8.745000000000001
185,1943,22.88,8.76,23.233,8.754999999999999
186,1944,23.28,8.85,23.338,8.744
187,1945,23.49,8.58,23.375,8.727
188,1946,23.94,8.68,23.456,8.687999999999999
189,1947,23.54,8.8,23.455,8.674000000000001
190,1948,24.25,8.75,23.491999999999997,8.665000000000001
191,1949,23.84,8.59,23.567,8.675999999999998
192,1950,23.19,8.37,23.535,8.647
193,1951,23.17,8.63,23.492,8.652000000000001
194,1952,23.34,8.64,23.387,8.611999999999998
195,1953,23.63,8.87,23.398,8.605
196,1954,22.96,8.56,23.258,8.607
197,1955,23.06,8.63,23.235999999999997,8.620999999999999
198,1956,22.89,8.28,23.21,8.642
199,1957,23.65,8.73,23.221,8.659
200,1958,22.85,8.77,23.187,8.669999999999998
201,1959,23.62,8.73,23.112000000000002,8.669
202,1960,22.93,8.58,23.163,8.654
203,1961,23.28,8.8,23.198,8.644
204,1962,23.0,8.75,23.189,8.676
205,1963,22.88,8.86,23.164,8.673
206,1964,23.47,8.41,23.130000000000003,8.648
207,1965,23.41,8.53,23.043,8.635
208,1966,22.8,8.6,23.027,8.647
209,1967,23.4,8.7,23.035,8.626999999999999
210,1968,22.51,8.52,23.113999999999997,8.601999999999999
211,1969,22.75,8.6,23.157,8.611
212,1970,22.77,8.7,23.169999999999998,8.616999999999999
213,1971,23.36,8.6,23.233,8.638
214,1972,23.79,8.5,23.253,8.613
215,1973,23.31,8.95,23.211,8.628
216,1974,23.6,8.47,23.288,8.645
217,1975,24.04,8.74,23.362000000000002,8.658
218,1976,23.0,8.35,23.422,8.686
219,1977,22.98,8.85,23.381,8.742999999999999
220,1978,23.28,8.69,23.416000000000004,8.757000000000001
221,1979,23.49,8.73,23.405,8.765
222,1980,23.37,8.98,23.371,8.787
223,1981,22.95,9.17,23.309,8.779
224,1982,24.14,8.64,23.392,8.827
225,1983,23.2,9.03,23.426,8.841
226,1984,23.26,8.69,23.423000000000002,8.892
227,1985,23.42,8.66,23.451,8.911
228,1986,23.83,8.83,23.547,8.936
229,1987,23.32,8.99,23.663,8.937000000000001
230,1988,23.25,9.2,23.585,8.956999999999999
231,1989,23.77,8.92,23.613999999999997,8.940999999999999
232,1990,24.33,9.23,23.704,8.975999999999999
233,1991,24.11,9.18,23.722,9.045
234,1992,23.36,8.84,23.66,9.065999999999999
235,1993,23.49,8.87,23.727999999999998,9.087
236,1994,24.16,9.04,23.830999999999996,9.118999999999998
237,1995,23.6,9.35,23.82,9.156
238,1996,23.21,9.04,23.737000000000002,9.153
239,1997,24.0,9.2,23.696,9.175999999999998
240,1998,24.28,9.52,23.770999999999997,9.248999999999999
241,1999,23.66,9.29,23.822,9.315
242,2000,23.5,9.2,23.775,9.343
243,2001,23.7,9.41,23.779,9.378
244,2002,24.11,9.57,23.835,9.427
245,2003,24.0,9.53,23.847,9.48
246,2004,23.69,9.32,23.797000000000004,9.471
247,2005,23.64,9.7,23.820999999999998,9.492999999999999
248,2006,23.77,9.53,23.746,9.543
249,2007,24.12,9.73,23.799,9.553999999999998
250,2008,23.78,9.43,23.78,9.548
251,2009,23.9,9.51,23.824,9.556000000000001
252,2010,22.75,9.7,23.83888888888889,9.58222222222222
253,2011,24.23,9.52,23.86375,9.567499999999999
254,2012,23.92,9.51,23.877142857142854,9.572857142857144
255,2013,24.44,9.61,23.836666666666662,9.546666666666667
