year,city_temp,global_temp
1758,23.05,6.74
1759,22.56,7.99
1760,15.14,7.19
1761,,8.77
1762,,8.61
1763,,7.50
1764,,8.40
1765,,8.25
1766,,8.41
1767,,8.22
1768,21.77,6.78
1769,22.57,7.69
1770,22.64,7.69
1771,23.28,7.85
1772,,8.19
1773,23.52,8.22
1774,,8.77
1775,24.52,9.18
1776,24.26,8.30
1777,24.16,8.26
1778,,8.54
1779,,8.98
1780,,9.43
1781,23.39,8.10
1782,23.45,7.90
1783,22.44,7.68
1784,22.57,7.86
1785,22.24,7.36
1786,22.81,8.26
1787,22.86,8.03
1788,23.21,8.45
1789,23.01,8.33
1790,22.88,7.98
1791,23.17,8.23
1792,22.73,8.09
1793,23.04,8.23
1794,23.21,8.53
1795,20.52,8.35
1796,22.89,8.27
1797,22.91,8.51
1798,23.47,8.67
1799,23.25,8.51
1800,23.06,8.48
1801,23.38,8.59
1802,23.53,8.58
1803,23.36,8.50
1804,23.45,8.84
1805,23.41,8.56
1806,23.13,8.43
1807,22.91,8.28
1808,22.66,7.63
1809,21.81,7.08
1810,21.85,6.92
1811,22.04,6.86
1812,21.53,7.05
1813,22.50,7.74
1814,22.24,7.59
1815,21.96,7.24
1816,21.54,6.94
1817,21.66,6.98
1818,22.40,7.83
1819,22.10,7.37
1820,22.25,7.62
1821,22.42,8.09
1822,23.08,8.19
1823,22.44,7.72
1824,23.40,8.55
1825,23.26,8.39
1826,23.45,8.36
1827,23.97,8.81
1828,24.18,8.17
1829,22.81,7.94
1830,23.81,8.52
1831,22.66,7.64
1832,22.93,7.45
1833,23.08,8.01
1834,23.60,8.15
1835,22.67,7.39
1836,22.55,7.70
1837,22.85,7.38
1838,22.46,7.51
1839,22.90,7.63
1840,22.89,7.80
1841,22.40,7.69
1842,22.91,8.02
1843,22.28,8.17
1844,22.27,7.65
1845,22.14,7.85
1846,22.75,8.55
1847,22.71,8.09
1848,22.98,7.98
1849,23.54,7.98
1850,23.36,7.90
1851,22.81,8.18
1852,22.57,8.10
1853,22.87,8.04
1854,22.78,8.21
1855,22.69,8.11
1856,22.78,8.00
1857,22.33,7.76
1858,22.60,8.10
1859,23.01,8.25
1860,22.80,7.96
1861,23.26,7.85
1862,23.36,7.56
1863,22.94,8.11
1864,22.39,7.98
1865,23.15,8.18
1866,23.04,8.29
1867,23.08,8.44
1868,22.75,8.25
1869,23.22,8.43
1870,22.95,8.20
1871,22.99,8.12
1872,22.56,8.19
1873,22.52,8.35
1874,23.00,8.43
1875,23.08,7.86
1876,22.77,8.08
1877,22.91,8.54
1878,22.88,8.83
1879,22.85,8.17
1880,23.44,8.12
1881,23.14,8.27
1882,23.36,8.13
1883,23.53,7.98
1884,23.09,7.77
1885,22.41,7.92
1886,22.08,7.95
1887,22.65,7.91
1888,22.78,8.09
1889,22.53,8.32
1890,23.11,7.97
1891,22.73,8.02
1892,22.45,8.07
1893,22.87,8.06
1894,22.84,8.16
1895,22.47,8.15
1896,22.84,8.21
1897,23.21,8.29
1898,22.92,8.18
1899,23.11,8.40
1900,22.93,8.50
1901,21.94,8.54
1902,22.85,8.30
1903,22.64,8.22
1904,22.62,8.09
1905,23.12,8.23
1906,22.69,8.38
1907,23.19,7.95
1908,23.12,8.19
1909,23.09,8.18
1910,21.99,8.22
1911,23.69,8.18
1912,23.61,8.17
1913,23.29,8.30
1914,22.80,8.59
1915,22.66,8.59
1916,23.02,8.23
1917,22.59,8.02
1918,23.06,8.13
1919,23.17,8.38
1920,22.63,8.36
1921,23.40,8.57
1922,23.54,8.41
1923,23.18,8.42
1924,23.09,8.51
1925,23.31,8.53
1926,23.06,8.73
1927,23.39,8.52
1928,22.90,8.63
1929,23.73,8.24
1930,22.91,8.63
1931,22.81,8.72
1932,23.55,8.71
1933,23.47,8.34
1934,23.04,8.63
1935,22.83,8.52
1936,23.22,8.55
1937,23.17,8.70
1938,23.20,8.86
1939,23.47,8.76
1940,22.38,8.76
1941,23.18,8.77
1942,22.97,8.73
1943,22.88,8.76
1944,23.28,8.85
1945,23.49,8.58
1946,23.94,8.68
1947,23.54,8.80
1948,24.25,8.75
1949,23.84,8.59
1950,23.19,8.37
1951,23.17,8.63
1952,23.34,8.64
1953,23.63,8.87
1954,22.96,8.56
1955,23.06,8.63
1956,22.89,8.28
1957,23.65,8.73
1958,22.85,8.77
1959,23.62,8.73
1960,22.93,8.58
1961,23.28,8.80
1962,23.00,8.75
1963,22.88,8.86
1964,23.47,8.41
1965,23.41,8.53
1966,22.80,8.60
1967,23.40,8.70
1968,22.51,8.52
1969,22.75,8.60
1970,22.77,8.70
1971,23.36,8.60
1972,23.79,8.50
1973,23.31,8.95
1974,23.60,8.47
1975,24.04,8.74
1976,23.00,8.35
1977,22.98,8.85
1978,23.28,8.69
1979,23.49,8.73
1980,23.37,8.98
1981,22.95,9.17
1982,24.14,8.64
1983,23.20,9.03
1984,23.26,8.69
1985,23.42,8.66
1986,23.83,8.83
1987,23.32,8.99
1988,23.25,9.20
1989,23.77,8.92
1990,24.33,9.23
1991,24.11,9.18
1992,23.36,8.84
1993,23.49,8.87
1994,24.16,9.04
1995,23.60,9.35
1996,23.21,9.04
1997,24.00,9.20
1998,24.28,9.52
1999,23.66,9.29
2000,23.50,9.20
2001,23.70,9.41
2002,24.11,9.57
2003,24.00,9.53
2004,23.69,9.32
2005,23.64,9.70
2006,23.77,9.53
2007,24.12,9.73
2008,23.78,9.43
2009,23.90,9.51
2010,22.75,9.70
2011,24.23,9.52
2012,23.92,9.51
2013,24.44,9.61
